title,url,emails
Request for Bids for Vehicles for Ministry of Health and Wellness,https://devbusiness.un.org/notices/idb-p2107497,theaglinton@bahamas.gov.bs DonaldDemeritte@bahamas.gov.bs
"Mejoramiento de infraestructura en 29 centros educativos públicos que atienden primera infancia, a nivel nacional",https://devbusiness.un.org/notices/wb-p2111819,mauricio.pineda@mined.gob.sv gracia.monteflores@mined.gob.sv
"Feasibility study (FS) for solid waste collection system improvements, including tariff and billing system in Dushanbe",https://devbusiness.un.org/notices/wb-p2111818,boboev.s@dsc.tj dsudp@dsc.tj
"Upgrading of 12 primary schools in Manica, transforming them into Basic Schools",https://devbusiness.un.org/notices/wb-p2111817,marcelaviacao@gmail.com aquisições.minedh@gmail.com aquisicoes.minedh@gmail.com. aquisicoes.minedh@gmail.com
"Design, print and supply assorted IEC materials",https://devbusiness.un.org/notices/wb-p2111816,adelmo.justos@mafs.gov.ss recruitmentsouthsudan.spcu@gmail.com recruitmentsouthsudan.spcu@gmail.com
"Preparation of Missing / Unavailable Revenue Maps (Massavis) in Punjab (Bahawalpur, DG Khan, Faisalabad, Rawalpindi, Gujranwala Divisions)",https://devbusiness.un.org/notices/wb-p2111815,pspmupulse@punjab-zameen.gov.pk pspmupulse@punjab-zameen.gov.pk pspmupulse@punjab-zameen.gov.pk
Procurement of Quality of Experience Monitoring System,https://devbusiness.un.org/notices/wb-p2111814,slowe@wardip.gm slowe@wardip.gm adanso@wardip.gm abdouliedanso64@gmail.com slowe@wardip.gm adanso@wardip.gm slowe@wardip.gm adanso@wardip.gm
Recrutement d'un Responsable junior en passation des marchés,https://devbusiness.un.org/notices/wb-p2111813,b.nzeyimana@investburundi.bi b.nzeyimana@investburundi.bi niyongabogas@gmail.com
"Amélioration de la desserte, des infrastructures et des services de proximité dans certains quartiers de Lemba, Matete et N'Djili (travaux de réhabilitation des bâtiments)",https://devbusiness.un.org/notices/wb-p2111812,billy.tshibambe@celluleinfra.org info@celluleinfra.org recrutement.cf@celluleinfra.org recrutement.cf@celluleinfra.org
"Recrutement d’une firme pour l'assistance en maître d'ouvrage du SIGeFiP avec le noyau composé des modules budgétaire, comptable et gestion de la trésorerie (études préalables et analyse des besoins complémentaires en renforcement de capacité et en équipe",https://devbusiness.un.org/notices/wb-p2111811,godemisenga1@gmail.com passationdesmarches@coref.cd
Consultancy to Develop Policy and Regulatory Framework to remove barriers and promote business environment for private investment in digital infrastructure,https://devbusiness.un.org/notices/wb-p2111810,osman.babikir@igad.int procurement@igad.int hassan.salah@igad.int
Awareness Creation (DPC) - (Production of radio and TV Documentaries),https://devbusiness.un.org/notices/wb-p2111809,william.adu@moc.gov.gh pcu.gdap@moc.gov.gh
Procurement of Destop PCs for Field offices of FBR,https://devbusiness.un.org/notices/wb-p2111808,addldirector.prr@fbr.gov.pk addldirector.prr@fbr.gov.pk addldirector.prr@fbr.gov.pk
Food Systems MLE Community Consultant,https://devbusiness.un.org/notices/un-p2111684,No emails found
UPDATE- PROVISION OF TECHNICAL ASSISTANCE FOR NCHADS-SI HIV PROGRAM,https://devbusiness.un.org/notices/gn-p2106283,kaheanhprok@nchads.org veasna_khem@nchads.org csophea@nchads.org kaheanhprok@nchads.org veasna_khem@nchads.org csophea@nchads.org veasna_khem@nchads.org kaheanhprok@nchads.org csophea@nchads.org
ACTUALIZADO - CONSTRUCCIÓN PARQUE URBANO DEL BICENTENARIO BARRIO LOS OLMOS,https://devbusiness.un.org/notices/idb-p2096072,corredorurbano.sucre@gmail.com corredorurbano.sucre@gmail.com
Environmental & Social Safeguard Manager,https://devbusiness.un.org/notices/wb-p2111683,lfugui@tina-hydro.com office@tina-hydro.com CVehe@mmere.gov.sb office@tina-hydro.com
Rehabilitation and Renovation of Semera Regional Veterinary Laboratory,https://devbusiness.un.org/notices/wb-p2111681,tamrat.terfassa@moa.gov.et
FIRME POUR LA REALISATION D’UNE ETUDE SUR L'EVALUATION DES POSTES DE COUTS DU BAREME OU DIFFERENTIEL DU CAFE ET DU CACAO,https://devbusiness.un.org/notices/afdb-p2111682,eloi.kone@pagfic.ci eloi.kone@conseilcafecacao.ci
"Provision of Non-Consulting Services for Urban Mass Certification, Formalization, and the Regularization of Unplanned Settlements - Tanga - CC Lot. 5",https://devbusiness.un.org/notices/wb-p2111680,shewiyoj@gmail.com
